Time(s),CPU_Usage(%)
0.0,89.5
1.0,100.0
2.0,99.5
3.0,99.1
4.0,99.6
5.0,99.6
6.0,100.0
7.0,100.0
8.0,100.0
9.0,99.5
10.0,99.3
11.0,100.0
12.0,96.6
13.0,94.7
14.0,98.0
15.0,95.2
16.0,99.8
17.0,99.1
18.0,97.8
19.0,98.2
20.0,98.6
21.0,99.3
22.0,96.5
23.0,98.1
24.0,98.6
25.0,95.2
26.0,98.4
27.0,89.1
28.0,54.3
29.0,68.3
30.0,66.6
31.0,97.7
32.0,97.8
33.0,99.1
34.0,98.6
35.0,100.0
36.0,99.5
37.0,97.7
38.0,97.8
39.0,97.8
40.0,97.5
41.0,100.0
42.0,100.0
43.0,100.0
44.0,100.0
45.0,100.0
46.0,100.0
47.0,100.0
48.0,100.0
49.0,100.0
50.0,100.0
51.0,100.0
52.0,100.0
53.0,100.0
54.0,100.0
55.0,100.0
56.0,100.0
57.0,100.0
58.0,100.0
59.0,100.0
60.0,100.0
61.0,99.8
62.0,100.0
63.0,100.0
64.0,100.0
65.0,100.0
66.0,100.0
67.0,77.0
68.0,100.0
69.0,100.0
